"gen","loc","year_1983","year_1984","year_1985"
"Altex","Souris",1668.124,2006.571,2698.646
"Andor","Souris",2014.608,1920.843,2836.168
"Regent","Souris",2507.544,2144.986,2432.532
"Westar","Souris",2628.992,1721.704,2511.116
"Triton","Souris",1539.532,1170.723,1741.35
"Altex","Mariapolis",1138.575,1393.973,2219.105
"Andor","Mariapolis",1513.635,1507.384,2597.737
"Regent","Mariapolis",1590.433,1266.274,1674.375
"Westar","Mariapolis",2133.377,1409.154,1919.95
"Triton","Mariapolis",895.679,1044.81,1741.35
"Altex","ShoalLake",1788.679,1794.037,2757.584
"Andor","ShoalLake",2192.315,2086.941,3446.087
"Regent","ShoalLake",1907.448,1739.564,2862.065
"Westar","ShoalLake",2018.18,1700.272,3279.096
"Triton","ShoalLake",1680.626,1554.713,2281.615
"Altex","Bagot",586.701,1767.247,1584.182
"Andor","Bagot",539.372,2225.356,1897.625
"Regent","Bagot",592.952,1322.533,1813.683
"Westar","Bagot",733.153,1781.535,1925.308
"Triton","Bagot",445.607,1427.907,1458.269
"Altex","Dauphin",2414.672,2207.496,3101.389
"Andor","Dauphin",2270.006,2176.241,3653.263
"Regent","Dauphin",2391.454,2046.756,2957.616
"Westar","Dauphin",2637.029,2362.878,4124.767
"Triton","Dauphin",1859.226,1744.922,2837.954
"Altex","Beausejour",1660.98,1497.561,1986.925
"Andor","Beausejour",1625.26,1679.733,2003.892
"Regent","Beausejour",1443.981,1666.338,1619.902
"Westar","Beausejour",1552.034,1719.025,2094.085
"Triton","Beausejour",1203.764,1407.368,1038.559
"Altex","Teulon",1915.485,1269.846,1980.674
"Andor","Teulon",1660.98,1383.257,1379.685
"Regent","Teulon",1918.164,1677.054,2048.542
"Westar","Teulon",1961.028,1516.314,1672.589
"Triton","Teulon",1225.196,1231.447,2098.55
"Altex","Roblin",2134.27,972.477,3081.743
"Andor","Roblin",2466.466,1050.168,3972.957
"Regent","Roblin",2477.182,895.679,2641.494
"Westar","Roblin",2926.361,1144.826,3783.641
"Triton","Roblin",2035.147,768.873,2655.782
"Altex","SwanRiver",1995.855,2370.915,3042.451
"Andor","SwanRiver",1919.057,2653.103,3938.13
"Regent","SwanRiver",1937.81,2440.569,2712.934
"Westar","SwanRiver",2012.822,2758.477,4337.301
"Triton","SwanRiver",1143.04,1972.637,2590.593
