Replication	Row	Column	Variety	Yield	Longitude	Latitude
I	1	1	Var04	1443	1	1
I	1	2	Var19	1667	2	1
I	1	3	Var09	1549	3	1
I	1	4	Var14	1459	4	1
I	1	5	Var24	1722	5	1
II	1	1	Var08	1583	6	1
II	1	2	Var11	1490	7	1
II	1	3	Var22	1607	8	1
II	1	4	Var05	1315	9	1
II	1	5	Var19	1174	10	1
III	1	1	Var03	1443	11	1
III	1	2	Var22	1649	12	1
III	1	3	Var15	1407	13	1
III	1	4	Var09	1315	14	1
III	1	5	Var16	1318	15	1
I	2	1	Var02	1388	1	2
I	2	2	Var17	1453	2	2
I	2	3	Var07	1384	3	2
I	2	4	Var12	1669	4	2
I	2	5	Var22	1738	5	2
II	2	1	Var25	1845	6	2
II	2	2	Var03	1700	7	2
II	2	3	Var14	1528	8	2
II	2	4	Var17	1373	9	2
II	2	5	Var06	1240	10	2
III	2	1	Var21	1252	11	2
III	2	2	Var20	1591	12	2
III	2	3	Var08	1428	13	2
III	2	4	Var02	1509	14	2
III	2	5	Var14	1273	15	2
I	3	1	Var05	1211	1	3
I	3	2	Var20	1411	2	3
I	3	3	Var10	1183	3	3
I	3	4	Var15	1550	4	3
I	3	5	Var25	1660	5	3
II	3	1	Var04	1526	6	3
II	3	2	Var07	1681	7	3
II	3	3	Var18	1545	8	3
II	3	4	Var21	1290	9	3
II	3	5	Var15	976	10	3
III	3	1	Var19	1240	11	3
III	3	2	Var13	1181	12	3
III	3	3	Var01	917	13	3
III	3	4	Var25	1287	14	3
III	3	5	Var07	975	15	3
I	4	1	Var01	1331	1	4
I	4	2	Var16	1417	2	4
I	4	3	Var06	1611	3	4
I	4	4	Var11	1454	4	4
I	4	5	Var21	1790	5	4
II	4	1	Var12	1767	6	4
II	4	2	Var20	1917	7	4
II	4	3	Var01	1264	8	4
II	4	4	Var09	1060	9	4
II	4	5	Var23	951	10	4
III	4	1	Var12	1130	11	4
III	4	2	Var06	1266	12	4
III	4	3	Var24	1289	13	4
III	4	4	Var18	1260	14	4
III	4	5	Var05	1174	15	4
I	5	1	Var03	1623	1	5
I	5	2	Var18	1862	2	5
I	5	3	Var08	1645	3	5
I	5	4	Var13	1888	4	5
I	5	5	Var23	1527	5	5
II	5	1	Var16	1606	6	5
II	5	2	Var24	1842	7	5
II	5	3	Var10	1186	8	5
II	5	4	Var13	1462	9	5
II	5	5	Var02	1242	10	5
III	5	1	Var10	1082	11	5
III	5	2	Var04	1304	12	5
III	5	3	Var17	1267	13	5
III	5	4	Var11	1266	14	5
III	5	5	Var23	1200	15	5
IV	1	1	Var16	1458	1	6
IV	1	2	Var17	2036	2	6
IV	1	3	Var19	2119	3	6
IV	1	4	Var18	1912	4	6
IV	1	5	Var20	1893	5	6
V	1	1	Var05	1748	6	6
V	1	2	Var09	1450	7	6
V	1	3	Var13	1740	8	6
V	1	4	Var17	1450	9	6
V	1	5	Var21	1523	10	6
VI	1	1	Var12	1364	11	6
VI	1	2	Var19	1690	12	6
VI	1	3	Var03	1334	13	6
VI	1	4	Var10	1239	14	6
VI	1	5	Var21	1557	15	6
IV	2	1	Var11	1261	1	7
IV	2	2	Var12	1423	2	7
IV	2	3	Var14	1110	3	7
IV	2	4	Var13	1735	4	7
IV	2	5	Var15	1617	5	7
V	2	1	Var22	1820	6	7
V	2	2	Var01	1351	7	7
V	2	3	Var10	1297	8	7
V	2	4	Var14	1412	9	7
V	2	5	Var18	1506	10	7
VI	2	1	Var24	1512	11	7
VI	2	2	Var01	1355	12	7
VI	2	3	Var15	1524	13	7
VI	2	4	Var17	1478	14	7
VI	2	5	Var08	1371	15	7
IV	3	1	Var21	1126	1	8
IV	3	2	Var22	1400	2	8
IV	3	3	Var24	1329	3	8
IV	3	4	Var23	1287	4	8
IV	3	5	Var25	1555	5	8
V	3	1	Var11	1395	6	8
V	3	2	Var20	1696	7	8
V	3	3	Var24	1570	8	8
V	3	4	Var03	1404	9	8
V	3	5	Var07	1285	10	8
VI	3	1	Var06	1473	11	8
VI	3	2	Var13	1761	12	8
VI	3	3	Var22	1695	13	8
VI	3	4	Var04	1364	14	8
VI	3	5	Var20	1790	15	8
IV	4	1	Var06	1531	1	9
IV	4	2	Var07	1540	2	9
IV	4	3	Var09	1250	3	9
IV	4	4	Var08	1658	4	9
IV	4	5	Var10	1185	5	9
V	4	1	Var08	1605	6	9
V	4	2	Var12	1550	7	9
V	4	3	Var16	1500	8	9
V	4	4	Var25	1642	9	9
V	4	5	Var04	1504	10	9
VI	4	1	Var05	1680	11	9
VI	4	2	Var07	1526	12	9
VI	4	3	Var16	1452	13	9
VI	4	4	Var23	1480	14	9
VI	4	5	Var14	1482	15	9
IV	5	1	Var01	1003	1	10
IV	5	2	Var02	1356	2	10
IV	5	3	Var04	1412	3	10
IV	5	4	Var03	1239	4	10
IV	5	5	Var05	1508	5	10
V	5	1	Var19	1967	6	10
V	5	2	Var23	1572	7	10
V	5	3	Var02	1969	8	10
V	5	4	Var06	1747	9	10
V	5	5	Var15	1598	10	10
VI	5	1	Var18	1630	11	10
VI	5	2	Var25	1633	12	10
VI	5	3	Var09	1255	13	10
VI	5	4	Var11	1277	14	10
VI	5	5	Var02	1572	15	10
