Block	Tillage	Varieties	Yield
1	Zero	v1	36
1	Zero	v1	36
1	Zero	v1	41
1	Zero	v1	38
1	Zero	v2	38
1	Zero	v2	38
1	Zero	v2	42
1	Zero	v2	42
1	Zero	v3	34
1	Zero	v3	34
1	Zero	v3	39
1	Zero	v3	40
1	Conventional	v1	31
1	Conventional	v1	29
1	Conventional	v1	34
1	Conventional	v1	35
1	Conventional	v2	35
1	Conventional	v2	33
1	Conventional	v2	38
1	Conventional	v2	39
1	Conventional	v3	31
1	Conventional	v3	29
1	Conventional	v3	35
1	Conventional	v3	35
1	Minimum	v1	32
1	Minimum	v1	32
1	Minimum	v1	37
1	Minimum	v1	37
1	Minimum	v2	35
1	Minimum	v2	35
1	Minimum	v2	39
1	Minimum	v2	39
1	Minimum	v3	30
1	Minimum	v3	32
1	Minimum	v3	34
1	Minimum	v3	33
2	Zero	v1	39
2	Zero	v1	39
2	Zero	v1	43
2	Zero	v1	42
2	Zero	v2	41
2	Zero	v2	42
2	Zero	v2	46
2	Zero	v2	47
2	Zero	v3	39
2	Zero	v3	37
2	Zero	v3	44
2	Zero	v3	41
2	Conventional	v1	34
2	Conventional	v1	33
2	Conventional	v1	38
2	Conventional	v1	37
2	Conventional	v2	37
2	Conventional	v2	38
2	Conventional	v2	41
2	Conventional	v2	40
2	Conventional	v3	31
2	Conventional	v3	34
2	Conventional	v3	36
2	Conventional	v3	37
2	Minimum	v1	36
2	Minimum	v1	36
2	Minimum	v1	38
2	Minimum	v1	40
2	Minimum	v2	39
2	Minimum	v2	39
2	Minimum	v2	41
2	Minimum	v2	41
2	Minimum	v3	34
2	Minimum	v3	34
2	Minimum	v3	38
2	Minimum	v3	38
3	Zero	v1	41
3	Zero	v1	43
3	Zero	v1	47
3	Zero	v1	48
3	Zero	v2	45
3	Zero	v2	45
3	Zero	v2	48
3	Zero	v2	48
3	Zero	v3	43
3	Zero	v3	41
3	Zero	v3	44
3	Zero	v3	45
3	Conventional	v1	36
3	Conventional	v1	37
3	Conventional	v1	39
3	Conventional	v1	41
3	Conventional	v2	40
3	Conventional	v2	40
3	Conventional	v2	43
3	Conventional	v2	44
3	Conventional	v3	33
3	Conventional	v3	35
3	Conventional	v3	40
3	Conventional	v3	40
3	Minimum	v1	37
3	Minimum	v1	39
3	Minimum	v1	42
3	Minimum	v1	40
3	Minimum	v2	43
3	Minimum	v2	42
3	Minimum	v2	44
3	Minimum	v2	45
3	Minimum	v3	36
3	Minimum	v3	37
3	Minimum	v3	40
3	Minimum	v3	40
